Rake,3.6332701023749636
Thor,3.4177974096024064
Rack,3.286071890929839
Active Support,3.0355896950861947
Ruby on Rails,2.8094760434925377
json,2.699454970110543
multi_json,2.5778594353019533
I18n,2.518351775294624
Active Record,2.451273763528493
Action Mailer,2.3194709626849455
erubis,1.99476438728706
Mail,1.9582247749010895
Tilt,1.945557586295624
Bundler,1.6183492433326427
Nokogiri,1.5551828162230683
RDoc,1.5456183708590392
Sprockets,1.4117254562254662
Sass,1.4060389059283833
rspec-mocks,1.106716125612068
RSpec,1.0974911004361627
ExecJS,1.0955745802663788
Uglifier,1.010053993936334
Sinatra,0.9695990104557816
highline,0.9295065541441234
Daemons,0.9281254751463941
sass-rails,0.9088224082691674
coffee-script,0.9075992916988058
Rest-client,0.8542698364029353
EventMachine,0.8471963818188532
Haml,0.7801371080665402
sqlite3,0.7145904677613012
mysql2,0.6886213281962644
pg,0.6654400749876284
multipart-post,0.5807221164308158
faraday,0.574404881482116
Httparty,0.5741593455393914
Devise,0.558989806839903
Thin,0.5428203572372431
Factory Girl,0.5372986626264972
Capybara,0.5316342484286396
json pure,0.5126934174558437
yajl-ruby,0.49811825243819013
therubyracer,0.4934680211022152
coderay,0.4930900569167558
Minitest,0.4780177034599196
Capistrano,0.47759129228536584
will_paginate,0.472774263499964
Redis Ruby,0.47195260644845016
ORM Adapter,0.4675208234600951
Rubygems,0.45802783497777644
Hashie,0.4539176079571176
New Relic RPM,0.440964009295884
Excon,0.41946325495344805
Cucumber,0.4156791470437469
mysql,0.41477972238048055
Unicorn,0.4051240141512238
Pry,0.39605064067264406
Slop,0.39156876019656817
FasterCSV,0.39071962719733155
crack,0.3864533795123949
Compass,0.382324220301609
Mocha,0.3808144024110158
chunky_png,0.36999518973825896
Paperclip,0.3589979173901534
term-ansicolor,0.3500575546832355
Fog,0.3453864493940436
RVM,0.33132808462278107
aws-sdk,0.323957734462245
Guard,0.32071547554279534
SimpleCov,0.3156721342692594
Mongo Ruby Driver,0.3096384938198472
Chronic,0.29151757231178416
Kaminari,0.28718540176994367
State machine,0.2834097405296838
Hpricot,0.2832422634631753
Bunny,0.28169283360554703
Chef,0.27959640908547884
cocaine,0.27700629129979
Cancan,0.2722409134125809
mixlib-cli,0.26948399817746505
Passenger,0.267299805965731
websocket,0.2600629520176292
rubygems-bundler,0.2591146920126504
RMagick,0.25361406553143045
ansi,0.24861402557480047
sqlite3-ruby,0.23972550794238434
Awesome print,0.23480440065536098
guard-rspec,0.22874114831882697
OmniAuth,0.22489422437316584
Hoe,0.22438820091192402
Faker,0.22204371615711427
Resque,0.2197792320416106
bootstrap-sass,0.21674988744497434
libwebsocket,0.21332723873446796
Aws-s3,0.21056158556544738
Timecop,0.20993662911494587
foreman,0.20766117403798398
Spork,0.20730165660187913
Carrierwave,0.20385949317231872
httpclient,0.1969915742113081
Daemon controller,0.1945587392359055
Webmock,0.19241813960554086
Airbrake,0.19192716480824615
Simple Form,0.18843985538684435
Yard,0.18765897536021958
Delayed job,0.18578672738888655
Heroku,0.18483516638665487
RedCloth,0.18178601580650106
Formtastic,0.1815847520622274
RightAWS,0.17257225285651773
Whenever,0.15990108363671787
Mechanize,0.15922107820261622
Redcarpet,0.1561259078372305
log4r,0.1528094735677446
Shoulda,0.1525097624348103
Mongoid,0.14872866425789855
Libxml-ruby,0.14860487686091403
Rufus-scheduler,0.14833157370600308
Sequel,0.14815749464498876
Inherited resources,0.14480562319911122
HTTPI,0.14128860480243313
Gyoku,0.1352159349149129
Less,0.1350744774738098
test-unit,0.1348161258946915
Bluepill,0.13310067529287217
Mongrel,0.13292776128971182
Active Merchant,0.132649215374458
Savon,0.13244397101584993
Curb,0.130337837680332
nori,0.12951753986298117
MiniMagick,0.12749383437063175
Slim,0.12481128866186114
Stringex,0.12366943487681405
Acts-as-taggable-on,0.12366652223217912
Acts as list,0.12276505871766825
Rdiscount,0.12247068743323132
Rcov,0.12224078268338084
temple,0.12214583046828212
Trollop,0.12006202740829865
Webrat,0.11547868981077265
spreadsheet,0.11509451198342537
jbuilder,0.11441110846391628
Puppet,0.114255961593029
Celluloid,0.11325925459895593
Twitter,0.11321605037020446
Authlogic,0.11215594481124441
DataMapper,0.11146768688401043
extlib,0.11058719441087107
bourbon,0.10910524082061865
FriendlyId,0.10646007405132962
colored,0.10547142537407986
VCR,0.10505171328218643
Hirb,0.10502753833171652
em-websocket,0.10271548102050901
better_errors,0.10174411403475983
email_spec,0.10152809289100252
em-http-request,0.09975972924498196
ruby-progressbar,0.09858690433865011
Liquid,0.0965627134055282
rabl,0.09541202459842181
Jasmine,0.0953587232016026
Fakeweb,0.09510726488145363
Prawn,0.09371434112887557
colorize,0.09359434016991644
pdf-reader,0.09308967594283755
configuration,0.09052402437208214
braintree,0.0898923688389203
twitter-bootstrap-rails,0.08912042092250934
jenkins_api_client,0.08732429006430245
Ruby/Git,0.08660263381192126
pry-rails,0.08633573847520717
sidekiq,0.08587544353473373
capybara-webkit,0.08501873765944629
amqp,0.08402329281138168
kramdown,0.08355552208301191
PaperTrail,0.08294435215044908
Geocoder,0.08165832245597295
resque-scheduler,0.081198124603654
AASM,0.08092511271320654
Rsolr,0.0803940405081043
Mustache,0.07949160611204846
Parallel tests,0.07939422669308728
ruby-graphviz,0.07845761726664827
Logging,0.07598915093854502
Typhoeus,0.07588410155537854
activerecord-jdbc-adapter,0.07432729299800842
Exception notification,0.0735277720457201
milia,0.07211484813331552
poltergeist,0.0713742596908073
Maruku,0.07067085601147167
ActiveAdmin,0.06982774247781391
